Fecha y Hora,ADC
19:43:22.573,11683
19:43:22.621,11698
19:43:22.693,11700
19:43:22.744,11696
19:43:22.787,11703
19:43:22.836,11701
19:43:22.893,11683
19:43:22.950,11703
19:43:23.014,11702
19:43:23.082,11699
19:43:23.143,11699
19:43:23.199,11699
19:43:23.241,11683
19:43:23.289,11703
19:43:23.347,11697
19:43:23.416,11699
19:43:23.459,11703
19:43:23.515,11697
19:43:23.573,11698
19:43:23.628,11700
19:43:23.685,11703
19:43:23.745,11692
19:43:23.792,11701
19:43:23.842,11700
19:43:23.890,11693
19:43:23.948,11698
19:43:23.993,11697
19:43:24.042,11703
19:43:24.110,11695
19:43:24.173,11701
19:43:24.229,11701
19:43:24.286,11696
19:43:24.335,11685
19:43:24.381,11697
19:43:24.431,11683
19:43:24.494,11697
19:43:24.538,11693
19:43:24.590,11695
19:43:24.652,11695
19:43:24.727,11695
19:43:24.774,11697
19:43:24.820,11699
19:43:24.877,11695
19:43:24.932,11696
19:43:24.999,11683
19:43:25.059,11702
19:43:25.135,11702
19:43:25.194,11699
19:43:25.243,11701
19:43:25.292,11701
19:43:25.341,11693
19:43:25.385,11700
19:43:25.438,11697
19:43:25.499,11696
19:43:25.569,11687
19:43:25.620,11685
19:43:25.671,11695
19:43:25.719,11703
19:43:25.762,11702
19:43:25.809,11700
19:43:25.862,11701
19:43:25.917,11701
19:43:25.978,11697
19:43:26.040,11698
19:43:26.102,11702
19:43:26.169,11698
19:43:26.220,11696
19:43:26.271,11697
19:43:26.335,11697
19:43:26.398,11691
19:43:26.463,11700
19:43:26.513,11701
19:43:26.564,11703
19:43:26.609,11695
19:43:26.660,11701
19:43:26.722,11703
19:43:26.767,11703
19:43:26.813,11701
19:43:26.866,11698
19:43:26.940,11697
19:43:26.983,11697
19:43:27.036,11687
19:43:27.078,11698
19:43:27.139,11701
19:43:27.196,11701
19:43:27.257,11705
19:43:27.327,11685
19:43:27.375,11697
19:43:27.424,11695
19:43:27.493,11695
19:43:27.560,11686
19:43:27.609,11697
19:43:27.652,11703
19:43:27.704,11702
19:43:27.772,11701
19:43:27.833,11702
19:43:27.894,11685
19:43:27.958,11701
19:43:28.029,11702
19:43:28.072,11696
19:43:28.126,11695
19:43:28.191,11691
19:43:28.243,11699
19:43:28.293,11690
19:43:28.340,11701
19:43:28.392,11693
19:43:28.453,11697
19:43:28.511,11684
19:43:28.556,11699
19:43:28.605,11701
19:43:28.652,11700
19:43:28.700,11694
19:43:28.746,11700
19:43:28.797,11684
19:43:28.861,11705
19:43:28.923,11702
19:43:28.984,11701
19:43:29.029,11701
19:43:29.077,11694
19:43:29.145,11693
19:43:29.208,11702
19:43:29.270,11702
19:43:29.322,11703
19:43:29.367,11697
19:43:29.423,11703
19:43:29.496,11693
19:43:29.556,11699
19:43:29.603,11683
19:43:29.653,11701
19:43:29.719,11700
19:43:29.784,11699
19:43:29.842,11685
19:43:29.901,11694
19:43:29.948,11701
19:43:30.006,11698
19:43:30.054,11687
19:43:30.124,11685
19:43:30.181,11700
19:43:30.241,11703
19:43:30.305,11697
19:43:30.376,11705
19:43:30.424,11681
19:43:30.482,11702
19:43:30.540,11698
19:43:30.605,11703
19:43:30.660,11701
19:43:30.707,11700
19:43:30.748,11691
19:43:30.794,11700
19:43:30.859,11703
19:43:30.910,11702
19:43:30.951,11685
19:43:31.000,11702
19:43:31.052,11697
19:43:31.109,11695
19:43:31.158,11694
19:43:31.206,11701
19:43:31.269,11701
19:43:31.336,11692
19:43:31.402,11700
19:43:31.451,11699
19:43:31.498,11693
19:43:31.548,11698
19:43:31.599,11697
19:43:31.655,11699
19:43:31.706,11701
19:43:31.755,11701
19:43:31.799,11680
19:43:31.859,11702
19:43:31.923,11703
19:43:31.972,11696
19:43:32.031,11701
19:43:32.086,11699
19:43:32.132,11690
19:43:32.176,11695
19:43:32.223,11697
19:43:32.273,11685
19:43:32.337,11687
19:43:32.379,11697
19:43:32.427,11693
19:43:32.474,11689
19:43:32.520,11694
19:43:32.571,11692
19:43:32.624,11703
19:43:32.691,11705
19:43:32.746,11688
19:43:32.821,11703
19:43:32.869,11702
19:43:32.916,11700
19:43:32.967,11697
19:43:33.026,11689
19:43:33.095,11703
19:43:33.151,11703
19:43:33.205,11702
19:43:33.257,11697
19:43:33.338,11701
19:43:33.451,11701
19:43:33.566,11701
19:43:33.658,11694
19:43:33.994,11692
19:43:34.111,11691
19:43:34.228,11697
19:43:34.352,11695
19:43:34.482,11694
19:43:34.609,11700
19:43:34.725,11696
19:43:34.807,11697
19:43:34.870,11701
19:43:34.939,11695
19:43:35.004,11689
19:43:35.074,11700
19:43:35.125,11686
19:43:35.190,11701
19:43:35.251,11695
19:43:35.307,11685
19:43:35.360,11685
19:43:35.421,11702
19:43:35.482,11698
19:43:35.531,11685
19:43:35.591,11703
19:43:35.636,11703
19:43:35.692,11704
19:43:35.743,11702
19:43:35.801,11691
19:43:35.855,11689
19:43:35.906,11698
19:43:35.964,11696
19:43:36.014,11690
19:43:36.063,11701
19:43:36.134,11699
19:43:36.183,11695
19:43:36.229,11701
19:43:36.276,11697
19:43:36.328,11686
19:43:36.385,11696
19:43:36.433,11701
19:43:36.477,11699
19:43:36.534,11695
19:43:36.603,11690
19:43:36.658,11700
