Hora,ADC
52.370,4042
52.416,4068
52.471,4110
52.517,4130
52.565,4083
52.610,4126
52.664,4252
52.711,4326
52.762,4412
52.810,4340
52.855,4246
52.901,4274
52.949,4368
52.999,4406
53.043,4350
53.088,4302
53.137,4318
