Fecha y Hora,ADC0,ADC1
20:59:59.210,400.0
20:59:59.261,424.0
20:59:59.331,434.0
20:59:59.388,404.0
20:59:59.451,418.0
20:59:59.511,434.0
20:59:59.574,418.0
20:59:59.639,408.0
20:59:59.701,424.0
20:59:59.767,450.0
20:59:59.822,458.0
20:59:59.885,418.0
20:59:59.952,440.0
21:00:00.018,408.0
21:00:00.070,418.0
21:00:00.141,386.0
21:00:00.196,418.0
21:00:00.282,438.0
21:00:00.346,394.0
21:00:00.399,442.0
21:00:00.463,402.0
21:00:00.525,392.0
21:00:00.590,446.0
21:00:00.650,410.0
21:00:00.713,427.0
21:00:00.776,422.0
21:00:00.836,438.0
21:00:00.901,434.0
21:00:00.965,424.0
21:00:01.028,440.0
21:00:01.086,428.0
21:00:01.148,436.0
21:00:01.209,433.0
21:00:01.275,424.0
21:00:01.335,437.0
21:00:01.401,434.0
21:00:01.458,426.0
21:00:01.526,440.0
21:00:01.583,448.0
21:00:01.647,440.0
21:00:01.714,430.0
21:00:01.776,436.0
21:00:01.833,448.0
21:00:01.894,436.0
21:00:01.959,436.0
21:00:02.021,440.0
21:00:02.081,438.0
21:00:02.148,442.0
21:00:02.214,443.0
21:00:02.267,442.0
21:00:02.331,443.0
21:00:02.392,448.0
21:00:02.455,445.0
21:00:02.517,427.0
21:00:02.566,438.0
21:00:02.631,448.0
21:00:02.690,444.0
21:00:02.751,443.0
21:00:02.801,447.0
21:00:02.865,434.0
21:00:02.931,450.0
21:00:02.990,446.0
21:00:03.049,446.0
21:00:03.114,434.0
21:00:03.181,442.0
21:00:03.241,435.0
21:00:03.299,441.0
21:00:03.361,440.0
21:00:03.427,442.0
21:00:03.502,440.0
21:00:03.567,428.0
21:00:03.627,440.0
21:00:03.688,444.0
21:00:03.750,440.0
21:00:03.814,440.0
21:00:03.876,442.0
21:00:03.988,438.0
21:00:04.095,442.0
21:00:04.216,442.0
21:00:04.330,441.0
21:00:04.442,440.0
21:00:04.562,448.0
21:00:04.647,450.0
21:00:04.717,442.0
21:00:04.792,442.0
21:00:04.856,444.0
21:00:04.917,445.0
21:00:04.979,440.0
21:00:05.042,447.0
21:00:05.108,449.0
21:00:05.167,440.0
21:00:05.237,444.0
21:00:05.296,442.0
21:00:05.355,436.0
21:00:05.420,442.0
21:00:05.485,445.0
21:00:05.553,440.0
21:00:05.607,440.0
21:00:05.673,442.0
21:00:05.733,442.0
21:00:05.800,442.0
21:00:05.854,442.0
21:00:05.919,444.0
21:00:05.984,436.0
21:00:06.049,446.0
21:00:06.104,448.0
21:00:06.166,440.0
21:00:06.232,442.0
21:00:06.302,447.0
21:00:06.357,444.0
21:00:06.420,436.0
21:00:06.488,442.0
21:00:06.555,440.0
21:00:06.607,442.0
21:00:06.673,444.0
21:00:06.737,447.0
21:00:06.804,444.0
21:00:06.858,441.0
21:00:06.918,444.0
21:00:06.984,442.0
21:00:07.045,440.0
21:00:07.108,444.0
21:00:07.165,446.0
21:00:07.233,438.0
21:00:07.298,440.0
21:00:07.354,446.0
21:00:07.414,442.0
